quiz,answer,coment
광운대학교의 개교기념일은?(n월 nn일 형태로 입력), "5월 20일|05월 20일|05.20|5.20",
광운대학교의 주소는?(@@시 @@구 @@로 nn), 서울특별시 노원구 광운로 20 ,
광운대학교 최고의 학과(부)는?, "정보융합학부|정융",
광운대학교의 상징동물은?, "비마|페가수스",
인공지능융합대학의 과거 이름은?, "소프트웨어융합대학|소융대",
광운대학교 설립자의 이름은?, "조광운",
광운대학교 최고의 맛집은?, "윤스쿡",
"전정대,인융대,공과대,자과대,인사대,정법대,경영대 각 단과대 별 건물을 순서대로 적으세요 ex)@@관, @@관","비마관, 새빛관, 비마관, 옥의관, 한울관, 한울관, 누리관",
전자바이오물리학과는 전정대 소속이다 O/X, "X|x",
비마상에 올라타면 소원이 이루어진다 O/X, "O|o",
열람실/자료실에 가방을 두고 밥을 먹고와도 된다 O/X,"x|X",그런 짓은 절대 하면 안됩니다
광운대역은 1호선만 다닌다 O/X, "x|X",
광운대 최고의 아웃풋은?, "YOU",
광운대역의 과거 이름은?, 성북역, 
"다음 중 광운대 출신이 아닌 사람은? 박인비, 지무비, 손흥민" ,손흥민,
광운대 상징인 버건디 색상의 Hexcode는 #8A1601이다 O/X,"O|o",
광운대학교가 종합대학교로 개편된 연도는?,"1987|1987년",
광운대학교 캠퍼스에 승리관이라는 건물이 있다 O/X, "o|O",
광운대학교 근처 최고의 치킨집은?,"썬더치킨|썬더 치킨|썬더",
